ID,CreatedAt,Text,Retweets,Likes
1979851375879299114,2025-10-19 10:05:26+00:00,"Perfect visuals, perfect comfort  
Hisense TV and AC are built for you  
Amazon Sale is Live today  
Trust #HisenseIndia
https://t.co/zXfynoNyar",0,0
1979851357990605057,2025-10-19 10:05:22+00:00,"Global No.1 technology at unbeatable prices! 🌍
Don’t miss the Hisense Amazon Sale — shop Hisense TV and AC now.
@Hisense_IND #HisenseIndia https://t.co/tZXL7N6N7E",0,0
1979851342203211831,2025-10-19 10:05:18+00:00,Get the ultimate home upgrade with Hisense! The Amazon Sale is Live with special offers on Hisense TVs and Hisense ACs. Don’t miss out: https://t.co/sUuB8ylUZ8 @Hisense_IND https://t.co/BC0oVXjKeV,0,0
1979851335605657995,2025-10-19 10:05:16+00:00,"Upgrade your home with Hisense! 💫
The Amazon Sale is LIVE — grab amazing deals on Hisense TV and Hisense AC today.
@Hisense_IND #HisenseIndia https://t.co/8edGY8KoXx",0,0
1979851333676290159,2025-10-19 10:05:16+00:00,"Your home deserves an upgrade! 🎉
The Hisense Amazon Sale is LIVE — enjoy unbeatable deals on Hisense TVs and ACs from the Global No.1 brand.
Shop now ➡️ https://t.co/wNVswuQCfc
@Hisense_IND #HisenseIndia

https://t.co/KMHJcWaeQh",0,0
1979851323018445025,2025-10-19 10:05:13+00:00,"Innovation meets affordability  
Hisense drops prices like never before  
Amazon Sale is officially Live  
Grab it! #HisenseIndia
https://t.co/xRoMbu1CUR",0,0
1979851318606094682,2025-10-19 10:05:12+00:00,"Smarter TV, cooler AC, happier home! 😎
The Hisense Amazon Sale is LIVE — upgrade your lifestyle today.
@Hisense_IND #HisenseIndia https://t.co/HI8yOsuHrJ",0,0
1979851312767611239,2025-10-19 10:05:11+00:00,Shop the Hisense Amazon Sale for excellent discounts on TVs and ACs. Enhance your home with Global No.1 quality. @Hisense_IND #HisenseIndia https://t.co/HQU0AsjboL,0,0
1979851298146283643,2025-10-19 10:05:07+00:00,Great offers on Hisense TV and Hisense AC in the Amazon sale. Don’t miss these low prices today. @Hisense_IND #HisenseIndia https://t.co/Mr8Qoqc9jl,0,0
1979851292249096301,2025-10-19 10:05:06+00:00,"Global No.1 technology at unbeatable prices! 🌍
Don’t miss the Hisense Amazon Sale — shop Hisense TV and AC now.
@Hisense_IND #HisenseIndia https://t.co/6pvrQg0PYy",0,0
